doi,pmid,year,title,journal,authorString,citedBy,query,abstract
10.5409/wjcp.v15.i2.117843,42220960,2026,Early-life gastrointestinal inflammation and the developing brain: Unravelling the pathways to long-term cognitive dysfunction.,World journal of clinical pediatrics,"Al-Beltagi M, Saeed NK, El-Sawaf Y, Bediwy AS, Elbeltagi R.",0,interferon responsive microglia signature [recent],"The gut-brain axis (GBA) is a complex, bidirectional communication network critical to integrating central nervous system functions with gastrointestinal (GI) health. This review examines how disruptions to the GBA during the critical early-life developmental window - a period of rapid neurogenesis and microbial colonization - contribute to long-term neurocognitive and psychiatric vulnerabilities. Evidence from animal models demonstrates that early-life stress, antibiotics, and infection induce sustained neuro-inflammation and alter microglial function, leading to long-term behavioral and cognitive impairments in adulthood. Human studies corroborate these findings, revealing that severe early GI insults, such as necrotizing enterocolitis, confer a high risk (40%) of global neurodevelopmental impairment and specific attention deficits. Chronic inflammatory conditions similarly impact the central nervous system: A high burden of early severe enteric infection is an independent risk factor for diminished intelligence quotient (IQ) and executive function, while conditions like celiac disease and inflammatory bowel disease are associated with persistent deficits in attention, processing speed, memory, and executive function. These clinical outcomes are strongly linked to systemic inflammation [elevated interleukin-6, kynurenine-to-tryptophan (Kyn:Trp) ratio], micronutrient deficiencies (iron, vitamin B12, folate), and structural white matter changes in the brain. Furthermore, chronic GI disease imposes a significant psychiatric burden, with high comorbidity of anxiety and depression often mediating poor health-related quality of life, particularly in pediatric inflammatory bowel disease. The findings underscore the necessity for a shift in clinical practice: Chronic GI disease in early life must be recognized as a red flag for neurocognitive risk. We advocate for a multidisciplinary approach encompassing early neurodevelopmental follow-up for high-risk groups and routine"
10.1038/s41586-026-10542-3,42203874,2026,Universal transcriptomic hallmarks of mammalian ageing and mortality.,Nature,"Tyshkovskiy A, Kholdina D, Davitadze M, Molière A, Moldakozhayev A, Tongu Y, Kasahara T, Glubokov D, Eames A, Kats LM, Vladimirova A, Ying K, Liu H, Zhang B, Khasanova U, Moqri M, Van Raamsdonk JM, Harrison DE, Strong R, Abe T, Dmitriev SE, Gladyshev VN.",1,interferon responsive microglia signature [recent],"Ageing and interventions modulate health and mortality<sup>1</sup>, yet the underlying molecular mechanisms of this modulation remain unclear. Here we integrate more than 11,000 transcriptomes from more than 25 tissues across 4 mammals (mouse, rat, macaque and human) to develop accurate, interpretable rodent and multi-species biomarkers of chronological age and expected mortality, predicting lifespan-modulating interventions, time to death, chronic diseases and rejuvenation. Ageing-related changes were conserved across species and cell types, revealing universal transcriptomic signatures of mammalian ageing and mortality, including CDKN1A and LGALS3, whose protein levels were also associated with mortality and multimorbidity in UK Biobank. Mortality-associated features were recapitulated across in vivo and in vitro damage-accumulation models, including inflammation, replicative senescence, metabolic inhibition and γ-irradiation, and were attenuated or reversed by cell immortalization, reprogramming, heterochronic parabiosis and early embryogenesis. Network analysis uncovered a modular architecture of ageing- and mortality-associated hallmarks, encompassing inflammation, interferon signalling, mitochondrial function, chromatin modification and extracellular matrix organization. To quantify ageing of individual cellular components, we developed module-specific clocks, which revealed pathway-specific effects of interventions: chronic diseases primarily accelerated inflammatory-module ageing, whereas caloric restriction and Klotho (also known as Kl) deficiency targeted mitochondrial and metabolic modules. Transcriptomic and DNA methylation clocks showed correlated age acceleration in human blood, which was strongest for the chromatin-associated module clock, highlighting mechanistic links between molecular ageing modalities. This study reveals conserved signatures and a modular architecture of mortality regulation, providing a framework for quantifying and targeting age"
10.1002/mco2.70767,42164653,2026,The Role of N&lt;sup&gt;6&lt;/sup&gt;-Methyladenosine Modification in Health and Disease.,MedComm,"Li L, Sun Y, Zheng W, Li L, Feng Y, Qi M, Li H.",0,interferon responsive microglia signature [recent],"Emerging evidence highlights that N<sup>6</sup>-methyladenosine (m<sup>6</sup>A), the most prevalent internal RNA modification in eukaryotes, serves as a critical epitranscriptomic regulator of RNA metabolism. This posttranscriptional modification modulates alternative splicing, nuclear export, stability, and translation, thereby regulating various physiological processes. Notably, dysregulation of m<sup>6</sup>A-associated modifiers (writers/erasers/readers) is implicated in a variety of diseases, such as metabolic disorders and cancer. Despite the rapid progress of m<sup>6</sup>A-mediated emerging therapeutic strategies, there remains an imperative to bridge the gap between basic epitranscriptomics and clinical application. This review systematically depicts recent advances in understanding m<sup>6</sup>A-mediated epitranscriptomic regulation, with particular focus on its dual role in maintaining cellular homeostasis and driving disease progression upon dysregulation, provides a dedicated exploration of m<sup>6</sup>A-regulated mitochondrial remodeling, and outlines cutting-edge technologies for m<sup>6</sup>A mapping and inhibitors targeting m<sup>6</sup>A modifiers. Furthermore, we conduct an in-depth exploration of the existing limitations and therapeutic potential associated with targeting m<sup>6</sup>A modification. Acting as a pivotal link between epitranscriptomics and medicine, m<sup>6</sup>A modification provides novel perspectives for developing precision interventions in complex human diseases."
10.1101/gr.280817.125,42161585,2026,RECOMBINE identifies recurrent composite markers of cell types and states.,Genome research,"Li X, Nguyen J, Korkut A.",0,interferon responsive microglia signature [recent],"Biological function is mediated by the hierarchical organization of cell types and states within tissue ecosystems. Identifying interpretable composite marker sets that both define and distinguish hierarchical cell identities is essential for decoding biological complexity yet remains a major challenge. Here, we present RECOMBINE, an algorithm that identifies recurrent composite marker sets to define hierarchical cell identities. Validation using both simulated and biological data sets demonstrates that RECOMBINE is robust to hyperparameter variation and data sparsity, and achieves higher accuracy in identifying discriminant markers compared with existing approaches. As a partition-free framework, RECOMBINE is particularly powerful for data sets characterized by continuous cell-state transitions, in which defining discrete boundaries is inappropriate. This capability is demonstrated by its application to zebrafish development, revealing gradual transcriptional transitions across embryonic stages, and to the mouse cerebellum, in which it uncovers transcriptional variation shaped by spatial gradients. When applied to single-cell data and validated with spatial transcriptomic data from the mouse visual cortex, RECOMBINE identifies key cell-type markers and generates a robust gene panel for targeted spatial profiling. It also uncovers markers of CD8<sup>+</sup> T cell states, including <i>GZMK</i> <sup>+</sup> <i>HAVCR2</i> <sup>-</sup> effector memory cells associated with anti-PD-1 therapy response. Finally, using data from the Tabula Sapiens project, RECOMBINE identifies composite marker sets across a broad range of human tissues. Together, these results highlight RECOMBINE as a robust, data-driven framework for optimized marker selection, enabling the discovery and validation of hierarchical cell identities across diverse tissue contexts."
10.1016/j.omta.2026.201726,42137601,2026,Single-cell and spatial transcriptomic analyses of gene therapy-associated retinal inflammation in non-human primates.,Molecular therapy. Advances,"Sourd C, Quinn J, John MC, Martinez-Fernandez de la Camara C, Wickramasinghe LC, Attar M, Shamsnajafabadi H, Salman A, Cowley SA, Dendrou CA, MacLaren RE, Cehajic-Kapetanovic J, Xue K.",0,interferon responsive microglia signature [recent],"Adeno-associated viral (AAV) vectors are rapidly advancing as gene therapies for retinal diseases, but gene therapy-associated uveitis (GTAU) limits their broader application. We assessed the ocular immune response to subretinal AAV gene therapy in two non-human primates (NHPs): NHP1 received bilateral AAV2-CAG-<i>hRPE65</i> (voretigene neparvovec) at clinical dose; NHP2 received AAV8-GRK1-<i>hRPGRco</i> alongside an analogous <i>mScarlet</i> reporter vector in separate blebs. Longitudinal assessments over three months included multimodal imaging, electroretinography, cytokine profiling, followed by immunohistological, single-cell, and spatial transcriptomic analyses of retinal punches. Both therapies were well-tolerated with preservation of retinal structure and function. Single-cell RNA sequencing revealed that the AAV8 vector transduced 80% of cones/rods in treated areas, while AAV2 targeted 30% of RPE/rods. Transgene expression did not correlate with apoptotic markers. At three months, a persistent type 1 cell-mediated response was detected in the retina dominated by myeloid and T cells. Adjunctive intravitreal anti-TNF-α (adalimumab) did not mitigate this chronic anti-viral response. Spatial transcriptomic analysis and immunohistochemistry localized monocytic phagocytes to the subretinal space, consistent with upregulated cytokines (MCP-1/CCL2, IP-10/CXCL10, IL-8/CXCL8, and IL-6), implicating these cells in driving local inflammation. These findings elucidate the mechanism of GTAU and identify potential therapeutic targets to prevent immune-mediated complications in retinal gene therapy."
10.1038/s41590-026-02502-w,42032302,2026,A spatially coordinated keratinocyte-fibroblast circuit recruits MMP9&lt;sup&gt;+&lt;/sup&gt; myeloid cells to drive type I interferon-driven inflammation in photosensitive autoimmunity.,Nature immunology,"Wang Y, Afshari K, Haddadi NS, Lopes CS, Eng CL, Whiteman LM, Martinez N, Kyawe PP, Anufrieva KS, Wei K, Frieda K, Rosenbach M, Vleugels RA, Gallucci S, Harris JE, Rashighi M, Garber M.",0,interferon responsive microglia signature [recent],"Photosensitivity is central to cutaneous lupus erythematosus and dermatomyositis (DM), but the mechanisms linking UVB exposure to tissue-specific autoimmunity are poorly defined. Using single-cell RNA sequencing, spatial transcriptomics, proteomics, UVB provocation and in vitro modeling, we identify MMP9<sup>+</sup>CD14<sup>+</sup> myeloid cells as critical mediators of photosensitivity. These cells expand significantly in lesional skin, produce interferon-β (IFNβ) and colocalize with cytotoxic CD4<sup>+</sup> T cells at the dermal-epidermal junction. Keratinocytes activate fibroblasts in the superficial dermis, prompting them to release chemokines (CCL2, CCL19, CCL7, CCL8) that recruit MMP9<sup>+</sup>CD14<sup>+</sup> cells. In vitro, type I interferon-primed keratinocytes exposed to UVB release cytokines activating dendritic cells, mirroring in vivo responses. UVB irradiation of non-lesional skin of patients with DM rapidly recruits these myeloid cells. In a clinical proof-of-concept study, anti-type I interferon treatment with anifrolumab prevented UVB-induced myeloid infiltration and reduced photosensitivity. Therefore, targeting MMP9<sup>+</sup>CD14<sup>+</sup> cells may offer therapeutic potential for managing photosensitive autoimmune skin conditions."
10.1016/j.neo.2026.101304,41955968,2026,Midkine and pleiotrophin in glioma: From mechanistic insights to therapeutic potential.,"Neoplasia (New York, N.Y.)","Lachota M, Zielniok K, Zagożdżon R.",0,interferon responsive microglia signature [recent],"Midkine (MK) and pleiotrophin (PTN) are heparin-binding cytokines with growth factor properties that play essential roles in central nervous system development and tissue repair. Through pleiotropic, receptor-mediated signaling, they regulate fundamental cellular processes including survival, proliferation, migration, and stress adaptation. In cancer, these developmental programs are frequently co-opted to support tumor growth, angiogenesis, immune evasion, and microenvironmental remodeling via pathways such as PI3K/AKT, MAPK, and ALK. In gliomas, both MK and PTN are consistently overexpressed, with expression increasing alongside tumor grade in IDH1 wild-type tumors, correlating with poor patient survival. Beyond direct tumor-cell effects, accumulating evidence indicates that MK and PTN shape the glioma microenvironment by promoting macrophage recruitment and polarization, modulating immune signaling, and influencing vascular remodeling. This review synthesizes current knowledge on the molecular and cellular functions of MK and PTN in glioma biology, with particular emphasis on their partially overlapping yet distinct receptor and signaling networks that govern tumor cell survival, metabolic adaptation, and invasion. We outline their potential as therapeutic targets, discuss emerging ligand- and receptor-directed strategies, and identify key gaps that must be addressed to enable effective therapeutic translation, especially in light of the complementary and compensatory functions of these two cytokines."
10.1158/2159-8290.cd-25-1774,41747249,2026,A Tumor-Promoting Inflammatory SPP1+ Macrophage-IL6-CRP Axis Drives Immune Dysfunction in Bladder Cancer.,Cancer discovery,"Tran MA, Cho BA, Izadmehr S, Yoo SK, Youssef D, Anker JF, Farkas AM, Figueiredo I, Lee K, Ananthanarayanan A, Balan S, Onkar S, Banchereau R, Gupta S, Chhibber A, Wang L, Beaumont KG, Li Z, Garcia-Barros M, Bicak M, Cordon-Cardo C, Brody R, Kim-Schulze S, Yuen K, Mariathasan S, Atiq SO, Adeyelu TT, Elliott A, Barata P, McKay RR, Gnjatic S, Gonzalez-Kozlova E, Mehrazin R, Horowitz A, Sfakianos JP, Chowell D, Galsky MD, Bhardwaj N.",1,interferon responsive microglia signature [recent],"Immune checkpoint blockade (ICB) has revolutionized treatment for urothelial bladder cancer, yet response rates remain limited. Inflammation promotes disease progression and treatment resistance, with macrophages shaping the tumor microenvironment (TME). Although elevated blood C-reactive protein (CRP) is associated with poor clinical outcomes in urothelial bladder cancer, its relationship to the TME remains unclear. In this study, we show that elevated plasma IL6 and CRP associate with increased tumor macrophage infiltration across multiple ICB-treated cohorts. Single-cell RNA sequencing (RNA-seq) of the largest urothelial bladder cancer atlas to date, integrated with bulk RNA-seq, identifies enrichment of immunosuppressive SPP1+ macrophages in TMEs from patients with high plasma IL6. Spatial and functional analyses demonstrate that SPP1+ macrophages suppress T-cell activity partly via IL6 signaling, whereas CXCL9+ macrophages promote T-cell activation. These findings link systemic inflammation to local immune dysfunction and define a macrophage-driven axis associated with ICB resistance and therapeutic targets to improve immunotherapy outcomes in urothelial bladder cancer.<h4>Significance</h4>Single-cell and bulk RNA-seq, spatial analyses, and functional experiments identify opposing SPP1+ and CXCL9+ macrophage programs that regulate T-cell function and ICB therapy response in bladder cancer. Elevated plasma CRP and IL6 mark SPP1+ macrophage-driven immune suppression, defining a targetable IL1β/IL6 axis that contributes to immunotherapy resistance."
10.1016/j.jare.2025.09.029,40975126,2026,Trained immunity modulators: A new frontier in immunoregulation and disease intervention.,Journal of advanced research,"Chen J, Wang C, Chen S, Cai H, Wang M, Chang J, Cai X, Yang J, Cao P.",4,interferon responsive microglia signature [recent],"<h4>Background</h4>Immunotherapy has emerged as one of the most revolutionary approaches in disease treatments. However, most current and emerging immunotherapeutic strategies primarily target the adaptive immune system. Recent studies have elucidated that innate immune myeloid cells can develop sustained phenotypic modifications upon exposure to specific immunomodulators, mediated through coordinated metabolic alterations and epigenetic reprogramming. These changes lead to either hyperresponsive or hyporesponsive innate immune cells when exposed to secondary stimuli, a phenomenon termed ""trained immunity"". Over the past decade, trained immunity has garnered increasing attention for its potential to enhance host defense. While numerous studies have investigated trained immunity modulators, comprehensive reviews-especially those focusing on recently identified modulators-are still lacking.<h4>Aim of review</h4>This review aims to elucidate the molecular mechanisms underlying trained immunity and its dual roles in various pathological conditions. We provide a comprehensive summary of the classifications and mechanisms of trained immunity inducers and suppressors identified in the past decade, emphasizing their therapeutic potential in immune-related diseases. Additionally, we discuss the limitations of these trained immunity modulators and offer insights into future directions for developing novel therapies targeting trained immunity. Key scientific concepts of review: This review first provide an overview of the molecular mechanisms underlying trained immunity, highlighting both its beneficial and detrimental effects on various diseases. Then it focuses on summarizing the classification and mechanisms of trained immunity modulators, including vaccines, polysaccharides, nanobiologics, endogenous mediators and other non-canonical modulators. Finally, the limitations of current trained immunity modulators and insights into future directions for developing novel therapie"
10.1016/j.expneurol.2026.115845,42173233,2026,A GPCR atlas across human microglial states in Alzheimer's disease: Insights from snRNA-seq and hiPSC models.,Experimental neurology,"Zhang B, Ran Z, Li XY, Wei ZH, Wang DM, Lu MH.",0,microglia states human Alzheimer single-nucleus atlas [recent],"Microglia are the resident immune cells of the central nervous system, and their state heterogeneity is closely associated with the pathological progression of Alzheimer's disease (AD). Single-nucleus RNA sequencing (snRNA-seq) studies have identified multiple transcriptional states of microglia in human AD brain. However, the characteristics and potential functions of G protein-coupled receptors (GPCRs) across different states remain poorly systematized. This review systematically searched and reviewed snRNA-seq studies based on human brain tissue published between 2020 and 2025. By re-analyzing GPCR expression across these datasets, we focuses on characterizing the differential expression characteristics and potential functions of GPCRs in five key AD-related microglial states: disease-associated microglia, tau-associated microglia, inflammation-associated microglia, proliferation-associated microglia, and interferon-associated microglia. Furthermore, we cross-reference these findings with single-cell sequencing data from human induced pluripotent stem cell (hiPSC)-derived microglia to prioritize a conserved set of GPCRs of high interest. In summary, by integrating transcriptomic evidence from both post-mortem human brain and hiPSC models, this review not only refines the understanding of microglial heterogeneity in AD but also provides a set of candidate GPCR targets for subsequent validation and drug discovery efforts against AD."
10.1002/alz.71380,42267641,2026,A lifespan staging model of basal forebrain cholinergic vulnerability.,Alzheimer's & dementia : the journal of the Alzheimer's Association,"Shanks HRC, Chen S, Onuska KM, Schmitz TW.",0,microglia states human Alzheimer single-nucleus atlas [recent],"The cholinergic neurons of the basal forebrain are among the most vulnerable cell types to age- and Alzheimer's disease-related dysfunction and neurodegeneration. However, the biological bases of basal forebrain cholinergic vulnerability (the why) and the temporal sequence (the how) have yet to be fully resolved. In this review, we summarize multi-disciplinary evidence to present a lifespan staging model of basal forebrain cholinergic vulnerability, which outlines how converging biological stressors position these neurons to fail. We trace the origins of basal forebrain cholinergic vulnerability from evolutionary and neurodevelopmental pressures, which ultimately interact with midlife stressors to culminate in two divergent trajectories of cholinergic aging: resilient and vulnerable. Lastly, we highlight that the branch point in cholinergic aging trajectories may serve as a critical window for intervention if sensitive, specific, and clinically scalable in vivo cholinergic biomarkers can be developed."
10.1126/sciadv.aea3316,42234754,2026,Charting the human-specific properties of gene expression networks in the infant prefrontal cortex.,Science advances,"Klavert J, Radjabzadeh D, Gonzalez Sanchez E, Castelijns B, Timpanaro IS, Boers J, Fabro F, Vroeg In de Wei G, Bindels E, Kondova I, Gribnau J, Creyghton MP.",0,microglia states human Alzheimer single-nucleus atlas [recent],"Human infancy is characterized by protracted brain development coinciding with sensitive periods of extensive synaptic remodeling. Whether this is supported by human infant-specific transcriptional programs is unknown as comparative material in closely related primate species was unavailable. Here, we analyze rare newborn chimpanzee and age-matched human and rhesus macaque brain samples using single-cell transcriptomics and epigenomics. We identify a human infant-specific transcriptional program in immature oligodendrocytes that is overrepresented in autism risk genes and patient gene expression changes. Furthermore, a human infant-specific transcriptional program in the neural lineage is overrepresented in Parkinson's disease risk genes and patient gene expression changes. Both of these programs are part of a core transcriptional network that contains human-specific sequence changes in regulatory DNA and lacks cell lineage specificity. Our study provides insights into the stage-specific properties of human evolution during early infancy and sheds light on the human-specific propensities to neural disease."
10.1152/function.011.2026,42139078,2026,Melatonin receptor signaling in human pathologies: from molecular mechanisms to therapeutic targets.,"Function (Oxford, England)","Huang YS, Wu SD, Chen HC, Lu KC, Ka SM, Wu CC.",0,microglia states human Alzheimer single-nucleus atlas [recent],"The melatonin receptor 1 A (MTNR1A), a highly conserved G protein-coupled receptor (GPCR), mediates crucial physiological functions. Its structure features an N-terminus responsible for melatonin binding and a C-terminus that initiates downstream signaling pathways to modulate target gene expression. Given MTNR1A's ability to form homodimers or heterodimers with other GPCRs, its expression levels are critical for the precise control of cellular signaling. This review article provides a comprehensive update on MTNR1A, highlighting recent developments concerning its expression distribution, gene regulation, protein motifs, and mediated signaling pathways. We also discuss the clinical relevance of single-nucleotide polymorphisms (SNPs) associated with the MTNR1A receptor and the range of diseases linked to its dysfunction. Current understanding and future perspectives regarding gene regulation and the stimulation of MTNR1A expression are critically addressed. Furthermore, we investigate the role of MTNR1A genetic variants in idiopathic osteoporosis and the association between decreased MTNR1A expression and membranous nephropathy. The systemic involvement of MTNR1A downregulation in cancer, fetal growth restriction, type 2 diabetes, and Parkinson's and Alzheimer's diseases is further underlined by its established biological functions. In conclusion, targeting MTNR1A-related downregulation and developing specific agonists or modulators offer a promising avenue for advancement in therapeutic medicine."
10.1038/s41587-025-02734-5,40696189,2026,"Combined single-cell profiling of chromatin-transcriptome and splicing across brain cell types, regions and disease state.",Nature biotechnology,"Hu W, Foord C, Hsu J, Fan L, Corley MJ, Lanjewar SN, Xu S, Belchikov N, He Y, Pang APS, Bhatia TN, Jarroux J, Joglekar A, Milner TA, Ndhlovu LC, Zhang J, Butelman E, Sloan SA, Lee VMY, Gan L, Tilgner HU.",10,microglia states human Alzheimer single-nucleus atlas [recent],"Measuring splicing and chromatin accessibility simultaneously in frozen tissues remains challenging. Here we combined single-cell isoform RNA sequencing and assay for transposase accessible chromatin (ScISOr-ATAC) to interrogate the correlation between these modalities in single cells in human and rhesus macaque frozen cortical tissue samples. Applying a previous definition of four 'cell states' in which the transcriptome and chromatin accessibility are coupled or decoupled for each gene, we demonstrate that splicing patterns in one cell state can differ from those of another state within the same cell type. We also use ScISOr-ATAC to measure the correlation of chromatin and splicing across brain cell types, cortical regions and species (macaque and human) and in Alzheimer's disease. In macaques, some excitatory neuron subtypes show brain-region-specific splicing and chromatin accessibility. In human and macaque prefrontal cortex, strong evolutionary divergence in one molecular modality does not necessarily imply strong divergence in another modality. Finally, in Alzheimer's disease, oligodendrocytes show high dysregulation in both chromatin and splicing."
,,2026,Identifying and targeting abnormal mitochondrial localization associated with psychosis,bioRxiv : the preprint server for biology,,0,microglia states human Alzheimer single-nucleus atlas [recent],
,,2026,APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes,bioRxiv : the preprint server for biology,,0,microglia states human Alzheimer single-nucleus atlas [recent],
10.3390/ijms27104244,42196227,2026,Somatostatin in Aging: Correlations with Selected Central Nervous System and Gastrointestinal Tract Diseases.,International journal of molecular sciences,Kasprzak A.,0,microglia states human Alzheimer single-nucleus atlas [recent],"The hypothalamic-pituitary-somatotropic (HPS) axis, which includes growth hormone (GH) and insulin-like growth factor 1 (IGF-1), is one of three endocrine systems that show a decline in hormone concentration with age. Among the hypothalamic hormones involved in the aging process, GH-releasing hormone (GHRH) and somatostatin (SST) are most affected, resulting in several age-related changes. The pathophysiology of GH decline in the aging process is unclear, specifically, whether it results from decreased GHRH or increased SST levels. Similarly, it is not known whether quantitative changes in hypothalamic peptides (including SST) precede or follow age-related pathological behavioral changes. SST is produced mainly by cells of the central nervous system (CNS) and the gastrointestinal (GI) tract, which are functionally interconnected systems that undergo significant changes during aging. The physical changes in the aging organism are considered physiological, and experimental evidence indicates that a large proportion of these changes are the result of declining hormonal activity (including the SST system). It is particularly important to understand the role of SST in diseases of old age, which affect both cognitive processes and memory (e.g., Alzheimer's and Parkinson's diseases) and the proper functioning of the GI tract and pancreas (e.g., obesity, type 2 diabetes mellitus, and colorectal cancer). This narrative review discusses systemic and peripheral changes in SST production and secretion observed in aging individuals and their potential association with selected diseases of old age, especially CNS and GI tract diseases. Understanding the role of SST expression with age will enable the better application of this neuropeptide in the diagnosis and treatment of diseases of old age (including cancers)."
,,2026,Impaired lipoprotein secretion by APOE4 leads to lysosomal and mitochondrial dysfunction in human microglia,bioRxiv : the preprint server for biology,,0,microglia states human Alzheimer single-nucleus atlas [recent],
10.1002/alz.71463,42108391,2026,Single-cell transcriptomic analysis reveals APOE genotype-dependent sex differences in Alzheimer's disease.,Alzheimer's & dementia : the journal of the Alzheimer's Association,"Yu G, Thorpe A, Zeng Q, Wang E, Goate A, Cai D, Wang M, Zhang B.",0,microglia states human Alzheimer single-nucleus atlas [recent],"<h4>Introduction</h4>Alzheimer's disease (AD) is the most common form of dementia, with approximately two-thirds of AD patients being female. Basic and clinical research studies provide strong evidence that sex-specific differences contribute to AD complexity. Additionally, sex-specific interactions between apolipoprotein E (APOE) 𝜀4, the primary genetic risk factor of AD, and AD-associated neurodegenerative processes are well documented. However, there has been no comprehensive investigation into the interplay between sex and APOE genotypes at the single-cell level.<h4>Methods</h4>In this study, we systematically explore sex- and APOE-associated differences in single-cell transcriptomics in AD.<h4>Results</h4>Our work provides a high-resolution landscape of sex and APOE genotype-specific transcriptomic changes across 54 high-resolution cell types in AD and highlights genes and brain cell populations that show significant sex- and APOE-specific differences in AD.<h4>Discussion</h4>This study lays the groundwork for understanding the complex molecular mechanisms of AD and informs the development of targeted sex- and APOE-stratified interventions for AD."
10.1038/s41392-026-02691-8,42108258,2026,iS2C2: a cointelligent platform for mechanistic discovery of disease cellular crosstalk.,Signal transduction and targeted therapy,"Sheng J, Ahn JY, Yang L, Wan Z, Qi S, Yu X, Xu Z, Cao Y, Vasquez M, Irfan A, Zhu Y, Zhao H, Yin Z, Zhu Y, Ding Y, Faridar A, Wang L, Liu F, Wang H, Ji Z, Mao D, Chan M, Kermany D, Dong W, Kim DY, Zhang XH, Wong STC.",0,microglia states human Alzheimer single-nucleus atlas [recent],"Large language models (LLMs) have demonstrated impressive capabilities in summarization, reasoning, and content generation, yet their inability to directly interpret large-scale omics data has limited their utility in data-driven hypothesis generation-particularly in mechanism discovery that demands the integration and interpretation of multimodal datasets, heterogeneous models, and deep domain expertise. Conversely, traditional computational algorithms excel at quantitative analysis of omics data but often rely heavily on labor-intensive, expert-driven interpretation to extract biologically meaningful insights. Here, we introduce (cointelligent single-cell spatial cell‒cell communication: iS2C2), a novel cointelligent platform that synergizes mathematically rigorous computational algorithms with the contextual reasoning capabilities of LLMs to automatically generate biologically interpretable hypotheses from single-cell RNA-seq and spatial transcriptomics data. The iS2C2 platform incorporates a transparent and reproducible cell-cell communication analysis pipeline built upon mathematically rigorous algorithms designed to enhance interpretability for integration with LLMs that contextualize algorithmic outputs or predictions using domain-specific knowledge and literature-derived evidence. When applied to Alzheimer's disease and cancer datasets, iS2C2 generated accurate, reproducible, and expert-validated hypotheses, unveiling previously unrecognized signaling pathways and mechanistic insights in disease microenvironments. This cointelligent approach bridges the gap between structured computational analysis and generative reasoning, heralding a paradigm shift toward fully automated, interpretable biological discovery and advancing the frontiers of next-generation precision medicine and systems biology."
10.1038/s41590-026-02472-z,41882205,2026,A transcriptomic microglia taxonomy across mouse and human pathologies.,Nature immunology,"Chhatbar C, Sankowski R, Schulz M, Shimizu T, Schwabenland M, Staszewski O, Scheiwe C, Nessler S, Borst K, Dumas AA, Trost E, Berchtold D, Brandão W, Mossad O, Dalmau Gasull A, Frosch M, Erny D, Diebold M, Guffart E, Ternka K, Guranda M, Vinnakota JM, Friesen M, Ouk K, Waltl I, LaMorte M, Hammond TR, Di Liberto G, Vincenti I, Kreutzfeldt M, Mughrabi IT, Al-Abed Y, Blank T, Meyer-Luehmann M, Crow YJ, Hagen N, Ofengeim D, Zeiser R, Kettwig M, Gärtner J, Meisel A, Schwemmle M, Kalinke U, Beck J, Bengsch B, Thimme R, Butovsky O, Seredenina T, Ransohoff RM, Quintana FJ, Kierdorf K, Merkler D, Stadelmann C, Priller J, Prinz M.",0,microglia states human Alzheimer single-nucleus atlas [recent],"Single-cell studies have revealed substantial microglial diversity in development, homeostasis and disease. However, a framework enabling comparison and stratification of microglial states across contexts is needed. Here we generated an atlas of myeloid cell states by single-cell RNA sequencing more than one million central nervous system cells from more than 30 physiological and pathological conditions. This atlas enables us to establish a comprehensive taxonomy of myeloid cell states across brain disorders and related mouse models, comprising 27 superclusters and 192 clusters that are prevalent across diseases and largely conserved. We augment this taxonomic framework with spatial transcriptomics to map how immune cell states are organized within tissue and interact with their local cellular environment. Using in vivo perturbations, we also show that activation-associated microglial states are dependent on interferon and colony-stimulating factor 1 receptor signaling. Together, these findings provide a spatially aware taxonomic framework for central nervous system immune cells in health and disease."
10.1002/advs.202514972,41831315,2026,Neuid: A Novel Neuron-Enriched LncRNA that Connects Epigenetic Gene Silencing to Alzheimer's Disease.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)","Pradhan R, Petrovic Z, Sadman Sakib M, Schröder S, Manfred Krüger D, Pena T, Diniz E, Burkhardt S, Schütz AL, Gisa V, Grzadzielewska I, Toischer K, Stein TD, Blusztajn JK, Delalle I, Radulovic J, Sananbenesi F, Fischer A.",0,microglia states human Alzheimer single-nucleus atlas [recent],"The increasing evidence that non-coding RNAs can become deregulated during pathogenesis is dramatically expanding the space for drug discovery beyond the protein-coding genome. Long noncoding RNAs (lncRNAs) are emerging as key regulators of cellular function, yet most remain uncharacterized. Here, we identify a previously unstudied lncRNA, which we named Neuronal Identity (Neuid), a conserved, brain-enriched transcript expressed in neurons. Neuid is downregulated in the brains of Alzheimer's disease (AD) patients. Mechanistically, Neuid maintains neuronal identity by repressing developmental and glial genes via interaction with the PRC2 subunit EZH2 and regulation of H3K27me3. Knockdown of Neuid disrupts this repression, leading to impaired neuronal activity and memory formation. Importantly, CRISPRa-mediated Neuid overexpression restores neuronal function in Aβ42-treated neurons. These findings identify NeuID as a critical regulator of neuronal plasticity and position it as a promising therapeutic target for AD."
